n	w_1      	q        	time     	gamma_1  	checksum 	prop     
107	1	2890	6.0874630	0.0429598	?	1.7194405
108	1	2944	6.3706530	0.0426435	?	1.7178090
109	1	2998	6.6918172	0.0423354	?	1.7235859
110	1	3053	7.0166126	0.0420291	?	1.7267229
111	1	3109	7.3788552	0.0417246	?	1.7353990
112	1	3165	7.6913248	0.0414280	?	1.7297103
113	1	3221	8.0289661	0.0411388	?	1.7275617
114	1	3278	8.4770575	0.0408512	?	1.7455071
115	1	3336	8.7994502	0.0405653	?	1.7343469
116	1	3394	9.2720193	0.0402865	?	1.7502034
117	1	3452	9.7290925	0.0400145	?	1.7597216
118	1	3511	10.0943644	0.0397439	?	1.7498553
119	1	3571	10.6568148	0.0394748	?	1.7709108
120	1	3631	11.0277319	0.0392122	?	1.7575845
121	1	3691	11.5201924	0.0389558	?	1.7618121
122	1	3752	12.1748036	0.0387008	?	1.7869798
123	1	3814	12.5127143	0.0384470	?	1.7630130
124	1	3876	13.1280306	0.0381992	?	1.7764409
125	1	3938	13.5160753	0.0379571	?	1.7572957
126	1	4001	14.1537844	0.0377162	?	1.7684484
127	1	4065	14.9290647	0.0374765	?	1.7929199
128	1	4129	15.3519212	0.0372422	?	1.7729151
129	1	4193	15.8934422	0.0370132	?	1.7657287
130	1	4258	16.5290179	0.0367852	?	1.7668974
131	1	4324	17.0887616	0.0365584	?	1.7579682
132	1	4390	17.8141072	0.0363365	?	1.7643216
133	1	4456	18.3286157	0.0361195	?	1.7483548
134	1	4523	19.0714813	0.0359035	?	1.7524412
135	1	4591	19.8133888	0.0356884	?	1.7540831
136	1	4659	20.4302103	0.0354780	?	1.7432650
137	1	4727	21.2177894	0.0352720	?	1.7456325
138	1	4796	21.9178514	0.0350670	?	1.7389278
139	1	4866	22.7854526	0.0348628	?	1.7435771
140	1	4936	23.5904482	0.0346629	?	1.7417144
141	1	5006	24.3633628	0.0344671	?	1.7361572
142	1	5077	25.2137990	0.0342722	?	1.7344672
143	1	5149	26.1142761	0.0340780	?	1.7343909
144	1	5221	26.9972043	0.0338879	?	1.7317198
145	1	5293	27.7544373	0.0337016	?	1.7199924
146	1	5366	28.7371501	0.0335160	?	1.7208161
147	1	5440	29.7052950	0.0333312	?	1.7190281
148	1	5514	30.8947712	0.0331500	?	1.7283555
149	1	5588	31.7535295	0.0329725	?	1.7178166
150	1	5663	32.8697585	0.0327956	?	1.7197930
151	1	5739	33.9469990	0.0326193	?	1.7180442
152	1	5815	35.1638094	0.0324466	?	1.7219298
153	1	5891	36.4900054	0.0322771	?	1.7294604
154	1	5968	37.6002682	0.0321083	?	1.7250432
155	1	6046	38.6764902	0.0319401	?	1.7178444
156	1	6124	39.9702345	0.0317751	?	1.7192052
157	1	6202	41.3621308	0.0316133	?	1.7233448
158	1	6281	42.6303016	0.0314519	?	1.7207523
159	1	6361	43.9083567	0.0312912	?	1.7172377
160	1	6441	45.3850596	0.0311334	?	1.7202821
161	1	6521	46.7189023	0.0309786	?	1.7167253
162	1	6602	48.2866660	0.0308243	?	1.7203098
163	1	6684	49.8295791	0.0306705	?	1.7214244
164	1	6766	51.3635378	0.0305196	?	1.7210417
165	1	6848	52.9860922	0.0303713	?	1.7224487
166	1	6931	54.7291286	0.0302235	?	1.7262288
167	1	7015	56.3941107	0.0300763	?	1.7260631
168	1	7099	58.2525844	0.0299316	?	1.7305740
169	1	7183	59.7174481	0.0297895	?	1.7224049
170	1	7268	61.4319726	0.0296479	?	1.7204132
171	1	7354	63.1886912	0.0295067	?	1.7184124
172	1	7440	65.1246345	0.0293680	?	1.7202320
173	1	7526	67.0414559	0.0292317	?	1.7204455
174	1	7613	69.3203564	0.0290957	?	1.7284516
175	1	7701	71.3999867	0.0289602	?	1.7299632
176	1	7789	73.2685532	0.0288271	?	1.7254322
177	1	7877	75.3719318	0.0286962	?	1.7255558
178	1	7966	77.3614357	0.0285657	?	1.7219646
179	1	8056	79.4344366	0.0284355	?	1.7192153
180	1	8146	81.7979736	0.0283076	?	1.7217918
181	1	8236	84.7022315	0.0281817	?	1.7343741
